#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,597.96,0.00,597.96,-597.96,597.96,597.96
CPTY_A,2016-05-06,0.248634,146458.39,147843.91,641365.13,0.00,147198.96,147198.96
CPTY_A,2016-08-05,0.497268,214737.24,213599.39,922039.69,0.00,216908.91,216908.91
CPTY_A,2016-11-07,0.754098,313540.83,208877.05,1240625.25,0.00,318349.48,318349.48
CPTY_A,2017-02-06,1.003002,346702.76,241967.37,1420665.88,0.00,353773.15,353773.15
CPTY_A,2017-05-05,1.244098,344446.13,343367.73,1382771.88,0.00,353188.05,353773.15
CPTY_A,2017-08-07,1.501632,400884.40,386632.60,1629298.63,0.00,413195.27,413195.27
CPTY_A,2017-11-06,1.750947,465924.60,361864.29,1657059.63,0.00,482636.55,482636.55
CPTY_A,2018-02-05,2.000262,454324.81,364340.36,1839923.13,0.00,472964.60,482636.55
CPTY_A,2018-05-08,2.252317,404553.17,418127.94,1611034.25,0.00,423286.15,482636.55
CPTY_A,2018-08-06,2.498892,412482.47,435249.53,1552761.38,0.00,433724.25,482636.55
CPTY_A,2018-11-05,2.748207,488229.18,406022.53,1859817.00,0.00,515947.60,515947.60
CPTY_A,2019-02-05,3.000262,552911.17,449578.89,2166585.00,0.00,587265.88,587265.88
CPTY_A,2019-05-07,3.249577,491243.80,494634.60,1949625.63,0.00,524384.90,587265.88
CPTY_A,2019-08-05,3.496152,504778.98,508156.72,1886390.00,0.00,541507.12,587265.88
CPTY_A,2019-11-05,3.748207,554062.59,469338.57,2016712.88,0.00,597391.88,597391.88
CPTY_A,2020-02-05,4.000000,571583.85,489784.14,1995902.75,0.00,619409.72,619409.72
CPTY_A,2020-05-05,4.245902,507900.56,520293.97,1984087.25,0.00,553129.10,619409.72
CPTY_A,2020-08-05,4.497268,599192.12,578592.58,2868380.25,0.00,655860.44,655860.44
CPTY_A,2020-11-05,4.748634,570058.72,481027.81,2641929.75,0.00,627137.04,655860.44
CPTY_A,2021-02-05,5.000262,556557.70,489382.64,2622969.00,0.00,615390.21,655860.44
CPTY_A,2021-05-05,5.244098,505373.68,525425.58,2051610.88,0.00,561537.64,655860.44
CPTY_A,2021-08-05,5.496152,498091.62,522367.26,2801533.25,0.00,556253.81,655860.44
CPTY_A,2021-11-05,5.748207,526863.30,453914.42,2086140.50,0.00,591369.93,655860.44
CPTY_A,2022-02-07,6.005741,541205.73,465459.21,2746370.25,0.00,610617.11,655860.44
