#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_2,2016-02-05,0.000000,1317065,0,0,0,1317065,1317065,1317065
Swap_2,2016-02-19,0.038251,1319955,6777,931775,-309926,2331091,1319895,1319895
Swap_2,2016-03-04,0.076503,1347036,25896,674569,-355891,2858735,1346867,1346867
Swap_2,2016-03-18,0.114754,1361726,45210,704990,-192785,3138546,1361431,1361431
Swap_2,2016-04-01,0.153005,1402815,80076,591257,-249659,3326368,1402384,1402384
Swap_2,2016-04-15,0.191257,1459932,139411,594780,-19115,3843051,1459344,1459344
Swap_2,2016-04-29,0.229508,1536013,202626,584329,47582,4338413,1535219,1535219
Swap_2,2016-05-13,0.267760,1558911,216301,78362,20040,4530367,1557930,1557930
Swap_2,2016-05-27,0.306011,1590216,249300,411882,683938,4711211,1589043,1589043
Swap_2,2016-06-10,0.344262,1577877,247128,416564,-77230,4511149,1576542,1589043
Swap_2,2016-06-24,0.382514,1578271,247217,401194,-103100,4812445,1576714,1589043
Swap_2,2016-07-08,0.420765,1620675,283814,328549,-170967,4912937,1618849,1618849
Swap_2,2016-07-22,0.459016,1647581,304449,352993,213859,5587379,1645570,1645570
Swap_2,2016-08-05,0.497268,1657045,316798,352934,-149064,5436618,1654899,1654899
Swap_2,2016-08-19,0.535519,1691148,350758,437007,-105740,5147030,1688737,1688737
Swap_2,2016-09-02,0.573770,1762178,415634,263655,2361,5520340,1759380,1759380
Swap_2,2016-09-16,0.612022,1529769,508385,1167643,182808,5258307,1527113,1759380
Swap_2,2016-09-30,0.650273,1570737,551004,392162,-56672,5359825,1567828,1759380
Swap_2,2016-10-14,0.688525,1617485,591675,268073,-163995,5606495,1614277,1759380
Swap_2,2016-10-28,0.726776,1638089,605896,-136116,-120532,5761822,1634524,1759380
Swap_2,2016-11-14,0.773224,1688262,659960,154305,-64452,5618614,1684219,1759380
Swap_2,2016-11-25,0.803279,1710164,686372,201449,1238011,5853014,1705883,1759380
Swap_2,2016-12-09,0.841530,1731913,719979,232762,-14520,5800490,1727338,1759380
Swap_2,2016-12-23,0.879781,1759349,746649,236754,14074,5923658,1754467,1759380
Swap_2,2017-01-06,0.918070,1792000,774340,286515,-17909,5926884,1786789,1786789
Swap_2,2017-01-20,0.956426,1803853,780622,344243,192668,6114386,1798387,1798387
Swap_2,2017-02-03,0.994783,1875442,839723,265976,-17644,6573464,1869538,1869538
Swap_2,2017-02-17,1.033139,1855746,835674,245077,17633,6289579,1849648,1869538
Swap_2,2017-03-03,1.071495,1834239,831922,235507,150061,6093076,1827921,1869538
Swap_2,2017-03-17,1.109851,1791792,815137,397693,36458,6249314,1785338,1869538
Swap_2,2017-03-31,1.148207,1774514,805000,289728,117559,5922327,1767843,1869538
Swap_2,2017-04-18,1.197522,1801720,827991,249386,4556,6248956,1794580,1869538
Swap_2,2017-04-28,1.224920,1791465,824274,267193,-33808,6586552,1784164,1869538
Swap_2,2017-05-12,1.263276,1813834,846073,201321,73335,6088388,1806163,1869538
Swap_2,2017-05-26,1.301632,1843568,864060,259235,7299,6457133,1835530,1869538
Swap_2,2017-06-09,1.339988,1781532,831478,107771,58663,6085429,1773531,1869538
Swap_2,2017-06-23,1.378344,1779669,845555,283245,55888,6192275,1771444,1869538
Swap_2,2017-07-07,1.416700,1782492,860815,60982,33502,6779400,1774020,1869538
Swap_2,2017-07-21,1.455057,1830590,906738,209374,-38524,6578198,1821649,1869538
Swap_2,2017-08-04,1.493413,1847359,922675,152452,52624,6494867,1838095,1869538
Swap_2,2017-08-18,1.531769,1889737,958056,-341492,45284,6586640,1880007,1880007
Swap_2,2017-09-01,1.570125,1912319,971372,300537,70121,6712160,1902211,1902211
Swap_2,2017-09-15,1.608481,1694288,1076486,234026,125962,6455632,1685100,1902211
Swap_2,2017-09-29,1.646837,1719693,1099551,2549,290185,6654871,1710133,1902211
Swap_2,2017-10-13,1.685194,1732161,1105561,257407,186435,6692402,1722294,1902211
Swap_2,2017-10-27,1.723550,1791772,1137923,180941,188668,6729399,1781320,1902211
Swap_2,2017-11-13,1.770125,1789014,1145642,250491,140125,6569498,1778271,1902211
Swap_2,2017-11-24,1.800262,1803975,1165121,264951,145053,6350116,1792909,1902211
Swap_2,2017-12-08,1.838618,1755339,1129930,158099,-20063,6590075,1744285,1902211
Swap_2,2017-12-22,1.876974,1793196,1167790,291046,5285,6400500,1781609,1902211
Swap_2,2018-01-05,1.915330,1800690,1176243,275351,160878,6518460,1788760,1902211
Swap_2,2018-01-19,1.953687,1832444,1198722,206822,120532,6579753,1820003,1902211
Swap_2,2018-02-02,1.992043,1894699,1240830,92063,276346,6843606,1881525,1902211
Swap_2,2018-02-16,2.030399,1879253,1227628,187502,126224,6655558,1865919,1902211
Swap_2,2018-03-02,2.068755,1880031,1235220,168726,222825,6921174,1866520,1902211
Swap_2,2018-03-16,2.107111,1868042,1223930,253375,331494,6893710,1854448,1902211
Swap_2,2018-04-03,2.156426,1869550,1222582,117030,178622,7419411,1855727,1902211
Swap_2,2018-04-13,2.183824,1855160,1223425,469830,221680,7189098,1841323,1902211
Swap_2,2018-04-27,2.222180,1879256,1238311,80115,196104,6866311,1865070,1902211
Swap_2,2018-05-11,2.260536,1880684,1245762,146109,199817,7320206,1866316,1902211
Swap_2,2018-05-25,2.298892,1870339,1237032,212166,310111,7377390,1855880,1902211
Swap_2,2018-06-08,2.337248,1816502,1194798,48055,175633,7395838,1802295,1902211
Swap_2,2018-06-22,2.375604,1821453,1206486,-231624,424043,7684976,1807042,1902211
Swap_2,2018-07-06,2.413961,1814413,1210753,243492,165673,7832012,1799893,1902211
Swap_2,2018-07-20,2.452317,1835254,1223883,121392,180996,7998357,1820401,1902211
Swap_2,2018-08-03,2.490673,1881399,1252165,176289,52472,7922961,1866002,1902211
Swap_2,2018-08-17,2.529029,1940520,1297854,112817,169241,8321411,1924464,1924464
Swap_2,2018-08-31,2.567385,1992201,1334357,160425,83407,8208659,1975537,1975537
Swap_2,2018-09-14,2.605741,1757559,1428121,-2078,172125,8169267,1742699,1975537
Swap_2,2018-09-28,2.644098,1716953,1407927,75623,177130,7659743,1702280,1975537
Swap_2,2018-10-12,2.682454,1679879,1392778,141998,36598,6928784,1665371,1975537
Swap_2,2018-10-26,2.720810,1642233,1378257,137608,2125,6845251,1627901,1975537
Swap_2,2018-11-09,2.759166,1622508,1372181,34620,102948,7225962,1608202,1975537
