#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,-2908.9205,#N/A,-217641.3203
CPTY_A,2016-02-19,0.0383,201480.2476,-7.8353,-7.8353,-28.1224,-28.1224
CPTY_A,2016-03-04,0.0765,596379.8249,-23.1925,-31.0279,-113.5687,-141.6911
CPTY_A,2016-03-18,0.1148,712782.4044,-27.7193,-58.7472,-176.5261,-318.2172
CPTY_A,2016-04-01,0.1530,975000.9324,-37.9167,-96.6639,-255.1520,-573.3692
CPTY_A,2016-04-15,0.1913,1038370.7503,-40.3811,-137.0450,-333.7938,-907.1629
CPTY_A,2016-04-29,0.2295,1087793.7176,-42.3031,-179.3481,-423.3585,-1330.5214
CPTY_A,2016-05-13,0.2678,1001934.4611,-38.9641,-218.3122,-458.5146,-1789.0360
CPTY_A,2016-05-27,0.3060,1005321.5805,-39.0958,-257.4080,-478.7272,-2267.7632
CPTY_A,2016-06-10,0.3443,1001313.4841,-38.9400,-296.3480,-529.3269,-2797.0901
CPTY_A,2016-06-24,0.3825,1039311.5518,-40.4177,-336.7657,-581.8397,-3378.9298
CPTY_A,2016-07-08,0.4208,1003992.1568,-39.0441,-375.8098,-641.7106,-4020.6404
CPTY_A,2016-07-22,0.4590,1059396.7855,-41.1988,-417.0086,-727.3354,-4747.9757
CPTY_A,2016-08-05,0.4973,949311.6765,-36.9177,-453.9263,-741.6335,-5489.6093
CPTY_A,2016-08-19,0.5355,977345.9941,-38.0079,-491.9342,-808.7084,-6298.3177
CPTY_A,2016-09-02,0.5738,1002223.5317,-38.9754,-530.9095,-798.7791,-7097.0968
CPTY_A,2016-09-16,0.6120,1013472.3804,-39.4128,-570.3223,-798.4461,-7895.5429
CPTY_A,2016-09-30,0.6503,954402.9949,-37.1157,-607.4380,-782.4285,-8677.9714
CPTY_A,2016-10-14,0.6885,969645.2222,-37.7084,-645.1464,-854.4901,-9532.4615
CPTY_A,2016-10-28,0.7268,985360.0536,-38.3196,-683.4660,-882.3609,-10414.8224
CPTY_A,2016-11-14,0.7732,872115.0491,-41.1832,-724.6492,-1069.4466,-11484.2691
CPTY_A,2016-11-25,0.8033,871325.4561,-26.6238,-751.2730,-669.3238,-12153.5928
CPTY_A,2016-12-09,0.8415,885556.3050,-34.4383,-785.7113,-836.7738,-12990.3667
CPTY_A,2016-12-23,0.8798,846363.0102,-32.9141,-818.6255,-852.5586,-13842.9253
CPTY_A,2017-01-06,0.9181,887235.2394,-34.5036,-853.1290,-927.3649,-14770.2902
CPTY_A,2017-01-20,0.9564,882322.8666,-34.3126,-887.4416,-1001.4316,-15771.7218
CPTY_A,2017-02-03,0.9948,865131.8550,-33.6440,-921.0856,-1084.8579,-16856.5797
CPTY_A,2017-02-17,1.0331,802169.4048,-31.1955,-952.2811,-1084.2001,-17940.7798
CPTY_A,2017-03-03,1.0715,805687.0932,-31.3323,-983.6134,-1189.1327,-19129.9125
