#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1201507.38,0.00,1201507.38,-1201507.38,1201507.38,1201507.38
CPTY_A,2016-02-19,0.038251,1339030.82,140337.06,3142580.38,0.00,1338969.08,1338969.08
CPTY_A,2016-03-04,0.076503,1474633.91,264072.19,4016119.50,0.00,1474449.57,1474449.57
CPTY_A,2016-03-18,0.114754,1800422.90,351424.02,5072048.88,0.00,1800032.60,1800032.60
CPTY_A,2016-04-01,0.153005,1888545.05,439452.02,5635474.00,0.00,1887964.81,1887964.81
CPTY_A,2016-04-15,0.191257,2003041.36,541363.82,6260403.06,0.00,2002234.61,2002234.61
CPTY_A,2016-04-29,0.229508,2024324.55,725026.85,5939627.25,0.00,2023278.27,2023278.27
CPTY_A,2016-05-13,0.267760,2058535.58,769524.96,6508443.00,0.00,2057239.42,2057239.42
CPTY_A,2016-05-27,0.306011,2173623.36,878511.86,7010384.59,0.00,2172019.81,2172019.81
CPTY_A,2016-06-10,0.344262,2275937.50,980084.88,7139693.38,0.00,2274012.52,2274012.52
CPTY_A,2016-06-24,0.382514,2424695.61,1141272.56,7619766.88,0.00,2422303.89,2422303.89
CPTY_A,2016-07-08,0.420765,2525643.74,1247071.41,8325483.56,0.00,2522797.37,2522797.37
CPTY_A,2016-07-22,0.459016,2493936.20,1383047.89,8805808.75,0.00,2490892.45,2522797.37
CPTY_A,2016-08-05,0.497268,2538180.75,1409834.73,8644052.84,0.00,2534893.58,2534893.58
CPTY_A,2016-08-19,0.535519,2626317.13,1465304.77,8557396.38,0.00,2622572.46,2622572.46
CPTY_A,2016-09-02,0.573770,2621835.69,1449886.51,9401328.00,0.00,2617672.96,2622572.46
CPTY_A,2016-09-16,0.612022,2571600.82,1469154.08,8946910.13,0.00,2567135.74,2622572.46
CPTY_A,2016-09-30,0.650273,2629434.53,1552699.43,9146230.44,0.00,2624565.67,2624565.67
CPTY_A,2016-10-14,0.688525,2745980.09,1661538.01,9702496.75,0.00,2740533.10,2740533.10
CPTY_A,2016-10-28,0.726776,2682162.79,1707236.49,9492732.75,0.00,2676325.38,2740533.10
CPTY_A,2016-11-14,0.773224,2746740.65,1772491.48,9784772.31,0.00,2740162.79,2740533.10
CPTY_A,2016-11-25,0.803279,2761151.07,1773122.25,9350418.50,0.00,2754239.16,2754239.16
CPTY_A,2016-12-09,0.841530,2723148.48,1742521.77,9360797.12,0.00,2715955.76,2754239.16
CPTY_A,2016-12-23,0.879781,2754082.38,1761100.13,10040699.20,0.00,2746439.25,2754239.16
CPTY_A,2017-01-06,0.918070,2851911.55,1865099.05,10366183.69,0.00,2843618.39,2843618.39
CPTY_A,2017-01-20,0.956426,2921061.61,1936268.89,10690096.50,0.00,2912210.30,2912210.30
CPTY_A,2017-02-03,0.994783,2897371.41,1984764.64,10838214.75,0.00,2888249.88,2912210.30
CPTY_A,2017-02-17,1.033139,2990220.17,2104444.82,10636523.25,0.00,2980393.77,2980393.77
CPTY_A,2017-03-03,1.071495,3017056.92,2151559.99,10638612.00,0.00,3006665.96,3006665.96
CPTY_A,2017-03-17,1.109851,3121963.56,2039877.01,11587415.00,0.00,3110718.44,3110718.44
CPTY_A,2017-03-31,1.148207,3188439.25,2085804.72,12267049.00,0.00,3176451.42,3176451.42
CPTY_A,2017-04-18,1.197522,3291066.85,2195801.71,13905922.50,0.00,3278025.40,3278025.40
CPTY_A,2017-04-28,1.224920,3313691.75,2355283.99,13839065.84,0.00,3300187.17,3300187.17
CPTY_A,2017-05-12,1.263276,3289507.43,2301634.81,12817424.63,0.00,3275595.03,3300187.17
CPTY_A,2017-05-26,1.301632,3345427.63,2365568.17,12894757.76,0.00,3330840.68,3330840.68
CPTY_A,2017-06-09,1.339988,3314631.07,2333118.61,12787964.50,0.00,3299744.45,3330840.68
CPTY_A,2017-06-23,1.378344,3289718.36,2315618.10,12727987.25,0.00,3274513.00,3330840.68
CPTY_A,2017-07-07,1.416700,3320922.05,2369297.94,12595869.25,0.00,3305137.80,3330840.68
CPTY_A,2017-07-21,1.455057,3355095.05,2401596.74,13294819.75,0.00,3338709.31,3338709.31
CPTY_A,2017-08-04,1.493413,3278005.77,2427084.36,11959334.00,0.00,3261567.58,3338709.31
CPTY_A,2017-08-18,1.531769,3292650.85,2435876.05,12868249.00,0.00,3275697.03,3338709.31
CPTY_A,2017-09-01,1.570125,3355310.65,2485458.63,12782828.50,0.00,3337574.96,3338709.31
CPTY_A,2017-09-15,1.608481,3272547.28,2469266.57,13971599.50,0.00,3254801.21,3338709.31
CPTY_A,2017-09-29,1.646837,3295023.41,2469380.82,12594976.25,0.00,3276704.59,3338709.31
CPTY_A,2017-10-13,1.685194,3363521.64,2542494.58,13418554.25,0.00,3344361.82,3344361.82
CPTY_A,2017-10-27,1.723550,3336220.79,2613372.61,13069824.25,0.00,3316760.11,3344361.82
CPTY_A,2017-11-13,1.770125,3431611.30,2706755.34,13157186.75,0.00,3411004.29,3411004.29
CPTY_A,2017-11-24,1.800262,3451735.25,2725877.79,13896822.00,0.00,3430562.88,3430562.88
CPTY_A,2017-12-08,1.838618,3418780.39,2690452.54,13701333.75,0.00,3397249.90,3430562.88
CPTY_A,2017-12-22,1.876974,3417509.51,2745777.38,13782275.66,0.00,3395427.06,3430562.88
CPTY_A,2018-01-05,1.915330,3516724.83,2874793.45,14124269.25,0.00,3493425.18,3493425.18
CPTY_A,2018-01-19,1.953687,3564699.58,2991659.53,14362159.00,0.00,3540498.20,3540498.20
CPTY_A,2018-02-02,1.992043,3471016.19,2951757.98,14170468.63,0.00,3446882.40,3540498.20
CPTY_A,2018-02-16,2.030399,3476909.91,2917038.27,14051751.75,0.00,3452238.39,3540498.20
CPTY_A,2018-03-02,2.068755,3477368.47,2893215.36,13814833.00,0.00,3452378.36,3540498.20
CPTY_A,2018-03-16,2.107111,3460424.22,2637311.63,12859845.25,0.00,3435242.11,3540498.20
CPTY_A,2018-04-03,2.156426,3494832.62,2660725.66,13826772.34,0.00,3468992.73,3540498.20
CPTY_A,2018-04-13,2.183824,3484361.11,2633785.79,14240788.25,0.00,3458373.02,3540498.20
CPTY_A,2018-04-27,2.222180,3439823.14,2669886.52,14003291.50,0.00,3413855.42,3540498.20
CPTY_A,2018-05-11,2.260536,3498219.68,2723486.67,14650593.50,0.00,3471494.03,3540498.20
CPTY_A,2018-05-25,2.298892,3535930.96,2760534.37,14504683.50,0.00,3508596.74,3540498.20
CPTY_A,2018-06-08,2.337248,3546948.47,2794541.69,13971131.25,0.00,3519207.64,3540498.20
CPTY_A,2018-06-22,2.375604,3600985.47,2844204.43,14591897.38,0.00,3572495.72,3572495.72
CPTY_A,2018-07-06,2.413961,3609755.81,2873882.02,15259087.00,0.00,3580869.59,3580869.59
CPTY_A,2018-07-20,2.452317,3578526.33,2861311.90,14522781.00,0.00,3549565.81,3580869.59
