#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1201507.38,0.00,1201507.38,-1201507.38,1201507.38,1201507.38
CPTY_A,2016-02-19,0.038251,1176074.85,178861.34,2941120.11,201480.25,1176020.62,1201507.38
CPTY_A,2016-03-04,0.076503,926094.18,311912.28,2935305.40,596379.82,925978.41,1201507.38
CPTY_A,2016-03-18,0.114754,1063238.97,327022.50,2755568.22,712782.40,1063008.48,1201507.38
CPTY_A,2016-04-01,0.153005,885936.23,411844.13,2805410.65,975000.93,885664.03,1201507.38
CPTY_A,2016-04-15,0.191257,843041.11,419734.32,2847052.57,1038370.75,842701.56,1201507.38
CPTY_A,2016-04-29,0.229508,753350.55,541846.56,2795888.60,1087793.72,752961.18,1201507.38
CPTY_A,2016-05-13,0.267760,744715.59,457639.43,2474039.60,1001934.46,744246.68,1201507.38
CPTY_A,2016-05-27,0.306011,796671.42,506881.50,2845108.91,1005321.58,796083.69,1201507.38
CPTY_A,2016-06-10,0.344262,803012.50,508473.37,2814964.91,1001313.48,802333.31,1201507.38
CPTY_A,2016-06-24,0.382514,814983.13,570871.63,3071338.20,1039311.55,814179.23,1201507.38
CPTY_A,2016-07-08,0.420765,804618.88,530038.71,3220049.49,1003992.16,803712.08,1201507.38
CPTY_A,2016-07-22,0.459016,683550.26,632058.73,2649678.80,1059396.79,682716.01,1201507.38
CPTY_A,2016-08-05,0.497268,692100.25,513065.91,2415289.05,949311.68,691203.92,1201507.38
CPTY_A,2016-08-19,0.535519,723401.86,539735.50,2523410.51,977345.99,722370.42,1201507.38
CPTY_A,2016-09-02,0.573770,697658.05,527932.40,2573316.48,1002223.53,696550.36,1201507.38
CPTY_A,2016-09-16,0.612022,637951.31,548976.95,2491354.32,1013472.38,636843.63,1201507.38
CPTY_A,2016-09-30,0.650273,638029.65,515697.54,2196720.05,954402.99,636848.23,1201507.38
CPTY_A,2016-10-14,0.688525,745328.33,630531.46,2702264.50,969645.22,743849.87,1201507.38
CPTY_A,2016-10-28,0.726776,604958.85,615392.60,2384284.52,985360.05,603642.23,1201507.38
CPTY_A,2016-11-14,0.773224,527665.00,425530.88,1009966.78,872115.05,526401.35,1201507.38
CPTY_A,2016-11-25,0.803279,635585.91,518882.54,2277139.54,871325.46,633994.87,1201507.38
CPTY_A,2016-12-09,0.841530,625510.91,530440.51,2392799.62,885556.30,623858.73,1201507.38
CPTY_A,2016-12-23,0.879781,689223.88,542604.64,2380081.83,846363.01,687311.14,1201507.38
CPTY_A,2017-01-06,0.918070,720233.38,620656.13,2584829.14,887235.24,718139.00,1201507.38
CPTY_A,2017-01-20,0.956426,692931.36,590461.51,2297890.16,882322.87,690831.66,1201507.38
CPTY_A,2017-02-03,0.994783,624069.12,576594.21,2117430.14,865131.86,622104.42,1201507.38
CPTY_A,2017-02-17,1.033139,710384.46,626778.51,2691860.73,802169.40,708050.01,1201507.38
CPTY_A,2017-03-03,1.071495,641159.64,581349.80,2376869.12,805687.09,638951.44,1201507.38
CPTY_A,2017-03-17,1.109851,752858.67,463553.80,2401057.20,792781.67,750146.92,1201507.38
CPTY_A,2017-03-31,1.148207,666172.03,537049.49,2707936.74,973511.99,663667.37,1201507.38
CPTY_A,2017-04-18,1.197522,507253.13,411399.75,1011243.91,999411.76,505243.05,1201507.38
CPTY_A,2017-04-28,1.224920,579517.71,619257.00,2069169.23,998147.06,577155.95,1201507.38
CPTY_A,2017-05-12,1.263276,621035.87,516572.36,2277106.13,883409.11,618409.31,1201507.38
CPTY_A,2017-05-26,1.301632,628878.90,585538.10,2329642.29,936518.66,626136.83,1201507.38
CPTY_A,2017-06-09,1.339988,618910.27,531736.73,2352342.32,894338.93,616130.63,1201507.38
CPTY_A,2017-06-23,1.378344,610345.74,559436.53,2395318.65,923191.05,607524.67,1201507.38
CPTY_A,2017-07-07,1.416700,628864.24,578739.35,2330810.32,901499.23,625875.26,1201507.38
CPTY_A,2017-07-21,1.455057,633814.42,573986.58,2357615.01,893670.49,630718.97,1201507.38
CPTY_A,2017-08-04,1.493413,568884.35,583954.27,2379419.52,865991.32,566031.57,1201507.38
CPTY_A,2017-08-18,1.531769,654449.88,551491.75,2408776.72,753816.67,651080.13,1201507.38
CPTY_A,2017-09-01,1.570125,659059.36,590026.62,2499392.47,800819.29,655575.67,1201507.38
CPTY_A,2017-09-15,1.608481,531478.84,544543.94,2135082.08,816345.81,528596.79,1201507.38
CPTY_A,2017-09-29,1.646837,589494.10,510897.98,2271202.63,747046.47,586216.78,1201507.38
CPTY_A,2017-10-13,1.685194,629634.07,557985.72,2494309.90,749378.70,626047.45,1201507.38
CPTY_A,2017-10-27,1.723550,563211.27,584498.11,2141368.55,744135.01,559925.98,1201507.38
CPTY_A,2017-11-13,1.770125,519828.20,412393.74,1010773.66,617421.51,516706.60,1201507.38
CPTY_A,2017-11-24,1.800262,590038.82,479902.23,2272631.70,615720.88,586419.62,1201507.38
CPTY_A,2017-12-08,1.838618,608274.50,507265.02,2198027.90,627318.37,604443.76,1201507.38
CPTY_A,2017-12-22,1.876974,585979.15,574321.14,2146583.02,660074.12,582192.81,1201507.38
CPTY_A,2018-01-05,1.915330,675533.50,630142.46,2268728.16,596540.34,671057.83,1201507.38
CPTY_A,2018-01-19,1.953687,630957.93,632751.65,2342518.36,574833.77,626674.24,1201507.38
CPTY_A,2018-02-02,1.992043,512563.04,523028.17,1884035.30,529723.34,508999.22,1201507.38
CPTY_A,2018-02-16,2.030399,598244.27,502075.48,2164150.09,463702.85,593999.24,1201507.38
CPTY_A,2018-03-02,2.068755,583316.26,526489.49,2168937.78,527326.34,579124.25,1201507.38
CPTY_A,2018-03-16,2.107111,654104.02,378672.27,2309923.75,547680.84,649343.99,1201507.38
CPTY_A,2018-04-03,2.156426,502428.40,446180.42,1022983.49,777858.97,498713.58,1201507.38
CPTY_A,2018-04-13,2.183824,538505.47,464342.42,1987912.14,776412.27,534489.03,1201507.38
CPTY_A,2018-04-27,2.222180,520719.55,559609.46,2042895.76,808826.54,516788.56,1201507.38
CPTY_A,2018-05-11,2.260536,629729.53,563553.22,2242518.84,708556.70,624918.53,1201507.38
CPTY_A,2018-05-25,2.298892,599995.00,508033.92,2079461.85,683435.51,595356.79,1201507.38
CPTY_A,2018-06-08,2.337248,587576.86,521175.90,1934046.03,686005.81,582981.40,1201507.38
CPTY_A,2018-06-22,2.375604,648093.71,538718.91,2327292.54,647406.25,642966.21,1201507.38
CPTY_A,2018-07-06,2.413961,577595.20,503827.66,2101725.45,662106.24,572973.14,1201507.38
CPTY_A,2018-07-20,2.452317,560700.35,505797.79,2338772.60,662311.86,556162.68,1201507.38
CPTY_A,2018-08-03,2.490673,626547.27,633660.05,2263830.75,620021.56,621419.95,1201507.38
CPTY_A,2018-08-17,2.529029,596538.30,512628.84,2075965.62,537206.57,591602.52,1201507.38
CPTY_A,2018-08-31,2.567385,611897.20,540905.87,2424877.38,556379.92,606778.92,1201507.38
CPTY_A,2018-09-14,2.605741,454768.17,520208.91,1977192.45,566564.05,450923.03,1201507.38
CPTY_A,2018-09-28,2.644098,518353.74,503353.71,2246206.23,476093.35,513924.03,1201507.38
CPTY_A,2018-10-12,2.682454,552781.63,528948.41,2061041.75,448828.09,548007.65,1201507.38
CPTY_A,2018-10-26,2.720810,498218.63,543829.72,2005553.86,438169.34,493870.77,1201507.38
CPTY_A,2018-11-09,2.759166,520640.61,535796.46,2200272.77,374758.40,516049.93,1201507.38
CPTY_A,2018-11-23,2.797522,571910.49,546202.27,2056846.18,356653.61,566815.98,1201507.38
CPTY_A,2018-12-07,2.835878,545934.32,550116.32,2022440.48,360864.52,541021.79,1201507.38
CPTY_A,2018-12-21,2.874235,605273.95,543776.80,2472965.46,325588.71,599772.67,1201507.38
CPTY_A,2019-01-04,2.912591,597933.72,536185.67,2078194.88,354644.15,592445.04,1201507.38
CPTY_A,2019-01-18,2.950947,545448.62,516810.98,2052245.89,371354.02,540392.37,1201507.38
CPTY_A,2019-02-01,2.989303,517145.33,598038.64,1905216.10,377724.38,512304.66,1201507.38
CPTY_A,2019-02-15,3.027659,548209.06,485937.48,1832303.35,268109.22,543035.77,1201507.38
CPTY_A,2019-03-01,3.066015,592027.67,500670.37,2139650.51,247227.33,586426.40,1201507.38
CPTY_A,2019-03-15,3.104372,667195.36,374635.86,2251276.81,263781.93,660866.60,1201507.38
CPTY_A,2019-03-29,3.142728,577323.82,552372.83,2246206.83,477623.54,571833.43,1201507.38
CPTY_A,2019-04-12,3.181084,542044.34,438483.03,1908843.01,403218.62,536876.21,1201507.38
CPTY_A,2019-04-26,3.219440,534165.57,465834.99,2135831.17,415450.97,529059.49,1201507.38
CPTY_A,2019-05-10,3.257796,543005.83,491976.75,1917331.13,417420.52,537801.96,1201507.38
CPTY_A,2019-05-24,3.296152,578418.02,470935.88,1969047.89,391373.61,572860.64,1201507.38
CPTY_A,2019-06-07,3.334509,553837.98,499031.09,1937905.60,431695.56,548503.22,1201507.38
CPTY_A,2019-06-21,3.372865,564183.75,502477.64,2122961.68,421595.11,558735.54,1201507.38
CPTY_A,2019-07-05,3.411221,579976.87,506954.38,1979203.87,420844.45,574361.97,1201507.38
CPTY_A,2019-07-19,3.449577,583960.80,533984.62,2232036.81,445450.61,578293.05,1201507.38
CPTY_A,2019-08-02,3.487933,504891.39,501443.42,1797184.25,454350.31,499978.72,1201507.38
CPTY_A,2019-08-16,3.526289,562740.00,507809.86,1971683.08,390004.15,557250.70,1201507.38
CPTY_A,2019-08-30,3.564646,544439.28,468078.03,1921132.36,372138.77,539115.18,1201507.38
CPTY_A,2019-09-13,3.603002,419160.61,462054.29,1567810.66,374075.94,415051.38,1201507.38
CPTY_A,2019-09-27,3.641358,572935.08,465497.61,2110152.03,267027.62,567304.31,1201507.38
CPTY_A,2019-10-11,3.679714,518621.68,513348.78,1847581.39,338496.63,513512.02,1201507.38
CPTY_A,2019-10-25,3.718070,453995.20,518408.11,1761241.51,299604.50,449511.17,1201507.38
CPTY_A,2019-11-08,3.756426,495041.52,467941.44,1779782.98,179165.42,490139.97,1201507.38
CPTY_A,2019-11-22,3.794783,481359.89,501625.74,1852125.46,172861.28,476582.04,1201507.38
CPTY_A,2019-12-06,3.833139,523646.76,455584.69,1926792.22,127097.51,518436.39,1201507.38
CPTY_A,2019-12-20,3.871495,506240.61,427183.95,1905330.47,157161.63,501191.05,1201507.38
CPTY_A,2020-01-03,3.909836,544631.54,491702.64,2044799.70,203097.11,539185.73,1201507.38
CPTY_A,2020-01-17,3.948087,582024.00,506652.34,1968077.74,223631.98,576190.08,1201507.38
CPTY_A,2020-01-31,3.986339,407942.21,457297.50,1668126.34,257963.04,403843.23,1201507.38
CPTY_A,2020-02-14,4.024590,505922.86,509046.60,1933055.80,195893.09,500834.70,1201507.38
CPTY_A,2020-02-28,4.062842,533991.54,490342.19,1963181.25,164685.90,528645.90,1201507.38
CPTY_A,2020-03-13,4.101093,525608.01,341865.61,1925615.96,177541.77,520370.73,1201507.38
CPTY_A,2020-03-27,4.139344,502990.28,464573.47,1729501.98,332094.02,498001.74,1201507.38
CPTY_A,2020-04-14,4.188525,493356.37,446564.83,1014533.74,326866.44,488492.86,1201507.38
CPTY_A,2020-04-24,4.215847,445465.14,446248.06,1682823.38,325160.20,441088.54,1201507.38
CPTY_A,2020-05-11,4.262295,499531.79,432734.91,1010800.65,253080.63,494652.19,1201507.38
CPTY_A,2020-05-22,4.292350,531353.29,450511.44,1791962.90,251249.17,526182.25,1201507.38
CPTY_A,2020-06-05,4.330601,543368.91,457286.87,1970751.34,262922.42,538106.20,1201507.38
CPTY_A,2020-06-19,4.368852,538004.35,510618.87,1815116.70,291397.56,532818.62,1201507.38
CPTY_A,2020-07-06,4.415301,502038.95,448452.47,1018415.68,244099.83,497228.22,1201507.38
