#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_1,2016-02-05,0.000000,0,1744739,0,0,0,0,0
Swap_1,2016-02-19,0.038251,11907,1745874,-923691,888800,14803,11907,11907
Swap_1,2016-03-04,0.076503,115335,1854861,-591300,913910,802339,115321,115321
Swap_1,2016-03-18,0.114754,281458,1770597,-592758,663360,1911107,281397,281397
Swap_1,2016-04-01,0.153005,332041,1821267,-389370,1057534,2168180,331939,331939
Swap_1,2016-04-15,0.191257,386388,1880689,-569030,436658,2375022,386232,386232
Swap_1,2016-04-29,0.229508,460442,1976020,-1309273,238841,2898775,460204,460204
Swap_1,2016-05-13,0.267760,531548,2072121,861340,469633,3210913,531214,531214
Swap_1,2016-05-27,0.306011,609848,2156269,-214014,-1020053,3308141,609398,609398
Swap_1,2016-06-10,0.344262,679619,2215765,-77393,672308,3560786,679045,679045
Swap_1,2016-06-24,0.382514,729723,2272337,-113040,710017,3893873,729003,729003
Swap_1,2016-07-08,0.420765,838820,2406614,-96402,1001016,4157932,837875,837875
Swap_1,2016-07-22,0.459016,955646,2562551,-38594,566976,4202611,954479,954479
Swap_1,2016-08-05,0.497268,959546,2549108,-312095,-1516703,4770286,958304,958304
Swap_1,2016-08-19,0.535519,951939,2514594,-318364,713977,5018220,950582,958304
Swap_1,2016-09-02,0.573770,1007275,2573388,226470,885400,4941094,1005676,1005676
Swap_1,2016-09-16,0.612022,1069108,2377867,-1100190,426668,4950314,1067252,1067252
Swap_1,2016-09-30,0.650273,1147135,2463416,4678,617331,5350842,1145011,1145011
Swap_1,2016-10-14,0.688525,1189565,2503894,133953,-208779,5772358,1187206,1187206
Swap_1,2016-10-28,0.726776,1263203,2560612,557747,836197,6335351,1260453,1260453
Swap_1,2016-11-14,0.773224,1322815,2613743,142698,630885,6758550,1319648,1319648
Swap_1,2016-11-25,0.803279,1390104,2661197,157830,-746831,6890526,1386624,1386624
Swap_1,2016-12-09,0.841530,1452436,2714655,128206,656813,6633410,1448600,1448600
Swap_1,2016-12-23,0.879781,1448046,2709109,249092,616086,6614718,1444027,1448600
Swap_1,2017-01-06,0.918070,1435392,2694094,164358,761850,7571086,1431218,1448600
Swap_1,2017-01-20,0.956426,1482201,2764501,-57109,440762,8041786,1477710,1477710
Swap_1,2017-02-03,0.994783,1528715,2780842,224875,310236,7694399,1523902,1523902
Swap_1,2017-02-17,1.033139,1517980,2766075,301619,910240,7086868,1512991,1523902
Swap_1,2017-03-03,1.071495,1567930,2828374,203487,411207,7511020,1562530,1562530
Swap_1,2017-03-17,1.109851,1637475,2669917,449295,384966,7407403,1631577,1631577
Swap_1,2017-03-31,1.148207,1679128,2709016,148452,405258,7594251,1672815,1672815
Swap_1,2017-04-18,1.197522,1711214,2754271,-16872,444449,8195172,1704433,1704433
Swap_1,2017-04-28,1.224920,1740592,2797483,70921,750395,8352041,1733498,1733498
Swap_1,2017-05-12,1.263276,1751708,2783771,176728,283817,8174644,1744299,1744299
Swap_1,2017-05-26,1.301632,1777695,2827323,61176,603616,8492752,1769944,1769944
Swap_1,2017-06-09,1.339988,1799510,2827139,298410,515946,8989836,1791428,1791428
Swap_1,2017-06-23,1.378344,1824997,2821468,46131,515369,8545203,1816562,1816562
Swap_1,2017-07-07,1.416700,1875347,2873727,363107,556001,8381703,1866433,1866433
Swap_1,2017-07-21,1.455057,1882518,2886343,195272,658993,8262870,1873324,1873324
Swap_1,2017-08-04,1.493413,1901341,2904909,173181,577644,7886507,1891807,1891807
Swap_1,2017-08-18,1.531769,1981756,2981883,686361,430683,7880493,1971552,1971552
Swap_1,2017-09-01,1.570125,2013880,3032230,258230,590321,7821721,2003235,2003235
Swap_1,2017-09-15,1.608481,2053518,2818728,237844,659727,7958687,2042383,2042383
Swap_1,2017-09-29,1.646837,2068673,2817029,353186,302599,7901708,2057172,2057172
Swap_1,2017-10-13,1.685194,2064383,2818019,163493,288500,7794950,2052624,2057172
Swap_1,2017-10-27,1.723550,2088954,2862743,88111,290671,7890734,2076769,2076769
Swap_1,2017-11-13,1.770125,2102098,2855713,10912,203226,8888783,2089475,2089475
Swap_1,2017-11-24,1.800262,2092572,2843055,185376,294338,9288371,2079737,2089475
Swap_1,2017-12-08,1.838618,2120073,2842423,201244,669333,9599580,2106722,2106722
Swap_1,2017-12-22,1.876974,2166774,2927453,175559,660679,9387693,2152773,2152773
Swap_1,2018-01-05,1.915330,2272117,3062026,310480,453877,10125913,2257063,2257063
Swap_1,2018-01-19,1.953687,2308720,3169091,339607,513592,10477597,2293045,2293045
Swap_1,2018-02-02,1.992043,2279303,3116539,269364,257282,9518346,2263455,2293045
Swap_1,2018-02-16,2.030399,2271711,3075004,304836,302550,9590207,2255591,2293045
Swap_1,2018-03-02,2.068755,2305012,3084537,236442,131015,10076486,2288447,2293045
Swap_1,2018-03-16,2.107111,2289805,2830487,242629,1331887,9906540,2273142,2293045
Swap_1,2018-04-03,2.156426,2370137,2901847,406537,203446,10369021,2352613,2352613
Swap_1,2018-04-13,2.183824,2360871,2853331,-276204,156895,10094252,2343263,2352613
Swap_1,2018-04-27,2.222180,2406380,2897120,518692,297883,10442771,2388214,2388214
Swap_1,2018-05-11,2.260536,2424360,2912203,225724,252473,10906139,2405839,2405839
Swap_1,2018-05-25,2.298892,2408678,2881049,256801,-47000,10116143,2390057,2405839
Swap_1,2018-06-08,2.337248,2392708,2857862,326808,434023,9919307,2373995,2405839
Swap_1,2018-06-22,2.375604,2418779,2867506,650677,36534,9673832,2399643,2405839
Swap_1,2018-07-06,2.413961,2447587,2891798,243211,131202,10349165,2428001,2428001
Swap_1,2018-07-20,2.452317,2464210,2920601,456538,166671,9962470,2444267,2444267
Swap_1,2018-08-03,2.490673,2494606,2998796,582511,366834,10402626,2474191,2474191
Swap_1,2018-08-17,2.529029,2517559,3032520,543142,216364,10565319,2496729,2496729
Swap_1,2018-08-31,2.567385,2524121,3039787,494059,315683,10656066,2503008,2503008
Swap_1,2018-09-14,2.605741,2453302,2756522,467997,77935,10704937,2432559,2503008
