#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_3,2016-02-05,0.000000,1629181,0,0,0,1629181,1629181,1629181
Swap_3,2016-02-19,0.038251,1625840,6358,1167990,-400014,2843835,1625765,1629181
Swap_3,2016-03-04,0.076503,1665709,36761,842825,-246106,3290914,1665501,1665501
Swap_3,2016-03-18,0.114754,1690577,68954,951007,-143552,3730051,1690210,1690210
Swap_3,2016-04-01,0.153005,1744805,129226,684050,-396031,4549530,1744269,1744269
Swap_3,2016-04-15,0.191257,1796546,161089,817291,2191,4499338,1795822,1795822
Swap_3,2016-04-29,0.229508,1707832,226343,1478294,255424,5100438,1706949,1795822
Swap_3,2016-05-13,0.267760,1797389,310417,-194987,-32033,5189635,1796257,1796257
Swap_3,2016-05-27,0.306011,1850215,349599,598804,842996,5329273,1848850,1848850
Swap_3,2016-06-10,0.344262,1891367,390117,463842,-86604,5490599,1889767,1889767
Swap_3,2016-06-24,0.382514,1907468,412484,526829,-36046,6010773,1905586,1905586
Swap_3,2016-07-08,0.420765,1975571,466066,572472,-300010,6730397,1973345,1973345
Swap_3,2016-07-22,0.459016,1890666,516004,369151,-148776,5788394,1888359,1973345
Swap_3,2016-08-05,0.497268,1932990,555330,651261,2178833,6389778,1930487,1973345
Swap_3,2016-08-19,0.535519,1951407,568130,604759,-68501,7125426,1948624,1973345
Swap_3,2016-09-02,0.573770,1989622,598104,207534,-359829,6772061,1986463,1986463
Swap_3,2016-09-16,0.612022,2001583,611761,570498,-60500,6960802,1998107,1998107
Swap_3,2016-09-30,0.650273,2025787,652503,241189,-44962,6643155,2022036,2022036
Swap_3,2016-10-14,0.688525,2034880,661919,343303,1003306,7125117,2030843,2030843
Swap_3,2016-10-28,0.726776,1950278,710136,183328,-100273,6692995,1946034,2030843
Swap_3,2016-11-14,0.773224,1972020,735145,230662,-140902,6870371,1967297,2030843
Swap_3,2016-11-25,0.803279,1972526,737196,276307,27703,6699688,1967589,2030843
Swap_3,2016-12-09,0.841530,2003424,772513,264543,-111852,7073121,1998132,2030843
Swap_3,2016-12-23,0.879781,2038987,797642,203378,-87555,7409759,2033328,2033328
Swap_3,2017-01-06,0.918070,2045233,817379,269360,-123285,7661170,2039286,2039286
Swap_3,2017-01-20,0.956426,2082551,838688,405798,-42969,7918495,2076240,2076240
Swap_3,2017-02-03,0.994783,2007737,878722,133218,284003,7631252,2001417,2076240
Swap_3,2017-02-17,1.033139,2039302,925503,163688,-301095,7446206,2032600,2076240
Swap_3,2017-03-03,1.071495,2071098,947473,202165,20082,7533251,2063965,2076240
Swap_3,2017-03-17,1.109851,2132074,994199,-94129,42130,7607165,2124394,2124394
Swap_3,2017-03-31,1.148207,2185347,1022339,227993,14233,8213650,2177131,2177131
Swap_3,2017-04-18,1.197522,2242902,1078309,274739,-37605,8221936,2234015,2234015
Swap_3,2017-04-28,1.224920,2134916,1086808,241404,-97330,8540964,2126215,2234015
Swap_3,2017-05-12,1.263276,2129618,1077444,242987,159421,8375691,2120611,2234015
Swap_3,2017-05-26,1.301632,2152968,1102989,308468,-25377,8555082,2143581,2234015
Swap_3,2017-06-09,1.339988,2207014,1147927,212729,-42872,8745389,2197102,2234015
Swap_3,2017-06-23,1.378344,2182921,1146464,280970,-11820,8493170,2172832,2234015
Swap_3,2017-07-07,1.416700,2234444,1206117,204776,-10764,8847422,2223824,2234015
Swap_3,2017-07-21,1.455057,2244701,1211229,229168,-46482,8320809,2233738,2234015
Swap_3,2017-08-04,1.493413,2100216,1170410,243252,-46314,7979097,2089684,2234015
Swap_3,2017-08-18,1.531769,2105319,1180098,309581,75524,8033011,2094479,2234015
Swap_3,2017-09-01,1.570125,2165395,1218140,100292,-70415,7682790,2153949,2234015
Swap_3,2017-09-15,1.608481,2199446,1248757,59609,-241145,8560574,2187519,2234015
Swap_3,2017-09-29,1.646837,2225140,1271283,233758,-81887,8713949,2212769,2234015
Swap_3,2017-10-13,1.685194,2210099,1262036,208734,83050,8929983,2197510,2234015
Swap_3,2017-10-27,1.723550,2117593,1274805,294159,105159,8104464,2105241,2234015
Swap_3,2017-11-13,1.770125,2141900,1306801,258425,69043,8686953,2129038,2234015
Swap_3,2017-11-24,1.800262,2132638,1295152,139712,40512,9419842,2119557,2234015
Swap_3,2017-12-08,1.838618,2135341,1310073,248932,-142004,9168298,2121893,2234015
Swap_3,2017-12-22,1.876974,2118706,1311700,119374,-91644,9237486,2105016,2234015
Swap_3,2018-01-05,1.915330,2144566,1337173,89702,15387,9464833,2130357,2234015
Swap_3,2018-01-19,1.953687,2168940,1369250,84529,-1372,8918229,2154215,2234015
Swap_3,2018-02-02,1.992043,2092543,1389918,151137,-10599,8385114,2077994,2234015
Swap_3,2018-02-16,2.030399,2104796,1393257,105906,73302,8932902,2089861,2234015
Swap_3,2018-03-02,2.068755,2140968,1422100,178148,172650,9156769,2125582,2234015
Swap_3,2018-03-16,2.107111,2174158,1454476,158100,-1284709,8736242,2158336,2234015
Swap_3,2018-04-03,2.156426,2207396,1488547,-21139,64112,8897518,2191075,2234015
Swap_3,2018-04-13,2.183824,2218787,1507487,344879,85767,8969215,2202238,2234015
Swap_3,2018-04-27,2.222180,2116821,1497089,-78087,65623,9098156,2100841,2234015
Swap_3,2018-05-11,2.260536,2136299,1508645,257896,111263,9101415,2119978,2234015
Swap_3,2018-05-25,2.298892,2152930,1538468,131028,244922,8596634,2136287,2234015
Swap_3,2018-06-08,2.337248,2121326,1525470,212714,-88481,9360142,2104735,2234015
Swap_3,2018-06-22,2.375604,2118744,1528204,229040,78142,9151050,2101981,2234015
Swap_3,2018-07-06,2.413961,2131019,1554594,90892,206953,9590974,2113966,2234015
Swap_3,2018-07-20,2.452317,2143621,1581386,-17230,158131,9318356,2126273,2234015
Swap_3,2018-08-03,2.490673,2043051,1555186,-132253,214354,9353631,2026332,2234015
Swap_3,2018-08-17,2.529029,2061280,1567869,-59421,127024,10186640,2044225,2234015
Swap_3,2018-08-31,2.567385,2075316,1590124,-42587,141816,10168216,2057957,2234015
Swap_3,2018-09-14,2.605741,2050269,1575363,-11151,270149,10005482,2032933,2234015
Swap_3,2018-09-28,2.644098,2051512,1582151,-15673,157196,9979865,2033981,2234015
Swap_3,2018-10-12,2.682454,2095112,1612772,8408,33607,9785840,2077018,2234015
Swap_3,2018-10-26,2.720810,1983067,1585673,276058,160185,9152921,1965761,2234015
Swap_3,2018-11-09,2.759166,1979303,1605069,121735,250198,9572188,1961851,2234015
Swap_3,2018-11-23,2.797522,2014255,1613723,-74038,224701,9757408,1996312,2234015
Swap_3,2018-12-07,2.835878,2032165,1621826,-30871,91958,9620217,2013879,2234015
Swap_3,2018-12-21,2.874235,2052184,1629563,-34116,283862,9029056,2033532,2234015
Swap_3,2019-01-04,2.912591,2082705,1647572,48433,77487,9622951,2063587,2234015
Swap_3,2019-01-18,2.950947,2093913,1645483,35225,133747,9710888,2074502,2234015
Swap_3,2019-02-01,2.989303,1961468,1609285,-89417,83894,9465113,1943108,2234015
Swap_3,2019-02-15,3.027659,1996451,1635706,118786,212350,9391546,1977611,2234015
Swap_3,2019-03-01,3.066015,2002228,1636915,19551,156071,9577661,1983285,2234015
Swap_3,2019-03-15,3.104372,1985465,1620776,146130,127471,8636637,1966631,2234015
Swap_3,2019-03-29,3.142728,1948908,1611374,49052,90615,9232278,1930374,2234015
Swap_3,2019-04-12,3.181084,1953157,1617696,18061,126469,9104453,1934535,2234015
Swap_3,2019-04-26,3.219440,1847885,1562155,-20741,186260,8460390,1830221,2234015
Swap_3,2019-05-10,3.257796,1870993,1587583,33839,222468,8378012,1853063,2234015
Swap_3,2019-05-24,3.296152,1897400,1596260,16128,163970,8794151,1879170,2234015
Swap_3,2019-06-07,3.334509,1917678,1618461,-33612,107168,8348887,1899206,2234015
Swap_3,2019-06-21,3.372865,1941798,1638781,65653,100472,8443384,1923047,2234015
Swap_3,2019-07-05,3.411221,1931617,1633816,-72567,184653,8281491,1912917,2234015
