#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,3046332.665076,3035535.079094,0.000000,3274391.984749,CPTY_A
1,2016-03-04,14,3089993.477903,3030958.367652,-250659.039482,2808450.827354,CPTY_A
2,2016-03-18,14,2909971.335329,2894250.878501,0.000000,3130720.240685,CPTY_A
3,2016-04-01,14,3042623.257692,3022833.354059,0.000000,3225142.522736,CPTY_A
4,2016-04-15,14,3013042.940705,3003270.302493,153738.075234,2707853.790536,CPTY_A
5,2016-04-29,14,2765405.124349,2759005.419055,0.000000,2748405.799021,CPTY_A
6,2016-05-13,14,2961370.130248,2953286.934096,0.000000,2814369.042316,CPTY_A
7,2016-05-27,14,2967554.270181,2965709.378328,8772.507630,3078586.646105,CPTY_A
8,2016-06-10,14,3074410.672485,3043014.843228,0.000000,2950986.708595,CPTY_A
9,2016-06-24,14,3098636.789259,3055802.054973,0.000000,3228118.183707,CPTY_A
10,2016-07-08,14,3039163.994264,3030258.672366,135221.776647,2968318.396099,CPTY_A
11,2016-07-22,14,2713140.898568,2709624.672471,0.000000,2438123.148629,CPTY_A
12,2016-08-05,14,2907174.042564,2894922.531462,0.000000,2277519.978162,CPTY_A
13,2016-08-19,14,3152620.541584,3147970.490948,0.000000,2857205.310122,CPTY_A
14,2016-09-02,14,2796122.683400,2784185.526297,79301.624108,2395808.963203,CPTY_A
15,2016-09-16,14,2307985.688951,2293931.748378,0.000000,2417899.595290,CPTY_A
16,2016-09-30,14,3205805.107312,3181560.037937,0.000000,3507738.100722,CPTY_A
17,2016-10-14,14,2847718.982611,2823157.235706,130222.007507,2719799.345830,CPTY_A
18,2016-10-28,17,2785758.922636,2777334.687914,0.000000,2247704.406914,CPTY_A
19,2016-11-14,11,2809818.521293,2793498.205611,0.000000,2862720.481725,CPTY_A
20,2016-11-25,14,2830507.382794,2780433.682294,12487.017009,2565332.438140,CPTY_A
21,2016-12-09,14,2713944.405698,2674124.781221,0.000000,2299211.748926,CPTY_A
22,2016-12-23,14,2818826.145493,2748422.913535,0.000000,2550599.710816,CPTY_A
23,2017-01-06,14,2736531.993111,2632983.659967,0.000000,2758641.875489,CPTY_A
24,2017-01-20,14,2630685.551241,2614952.393479,119440.802520,2723862.134125,CPTY_A
25,2017-02-03,14,2865232.605803,2830483.449986,0.000000,2920672.063696,CPTY_A
26,2017-02-17,14,2800279.041394,2748252.045832,0.000000,2643885.084687,CPTY_A
27,2017-03-03,14,2809122.260135,2734308.466372,-204616.424946,2668353.518758,CPTY_A
