#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.828624,1.288886,0.000837,0.007316,0.006793,3444647.561245,0.000000,3035535.079094,3046332.665076,-1447082.082393,3274391.984749
1,0.839707,1.276866,-0.000718,0.004435,0.004020,3193788.118620,3047069.510707,3035535.079094,3046332.665076,-1216016.683502,3274391.984749
2,0.841871,1.195124,-0.001788,0.006279,0.004825,2853277.637875,0.000000,3035535.079094,3046332.665076,-883391.243773,3274391.984749
3,0.842770,1.245031,-0.001457,0.008301,0.006577,3282943.585871,3047003.812917,3035535.079094,3046332.665076,1547570.173847,3274391.984749
4,0.845956,1.224261,-0.001564,0.007095,0.008733,3182839.251479,3046935.512130,3035535.079094,3046332.665076,1783211.840773,3274391.984749
5,0.847954,1.205687,-0.000432,0.010502,0.005156,3046430.426476,3046892.665937,3035535.079094,3046332.665076,1858802.347112,3274391.984749
6,0.848041,1.241389,0.001900,0.013560,0.007065,3352470.769975,3046890.804861,3035535.079094,3046332.665076,-1721743.063309,3274391.984749
7,0.848548,1.277363,-0.003162,0.006551,0.004850,3376215.207653,0.000000,3035535.079094,3046332.665076,1418913.599656,3274391.984749
8,0.849677,1.242569,0.002518,0.014835,0.005531,3332526.303262,3046855.731761,3035535.079094,3046332.665076,-152257.412738,3274391.984749
9,0.849742,1.197021,-0.001551,0.012147,0.007000,3171411.769923,0.000000,3035535.079094,3046332.665076,1186315.503044,3274391.984749
10,0.851025,1.231476,0.001727,0.009416,0.007474,3134597.898146,0.000000,3035535.079094,3046332.665076,568281.648853,3274391.984749
11,0.851096,1.238826,0.002419,0.013571,0.006656,3296710.625400,3046825.302972,3035535.079094,3046332.665076,2485864.051416,3274391.984749
12,0.851735,1.185289,0.004555,0.013221,0.007746,2920865.056923,3046811.604321,3035535.079094,3046332.665076,-787584.866369,3274391.984749
13,0.851925,1.222172,-0.000630,0.000607,0.002947,2583438.555609,0.000000,3035535.079094,3046332.665076,-867714.901830,3274391.984749
14,0.852208,1.179708,0.000396,0.006883,0.008365,2786742.646899,3046801.463543,3035535.079094,3046332.665076,1390197.395851,3274391.984749
15,0.852749,1.225348,0.001194,0.009572,0.009231,3182259.183854,0.000000,3035535.079094,3046332.665076,-894025.298587,3274391.984749
16,0.853069,1.206846,0.001561,0.007157,0.010300,2989628.711703,0.000000,3035535.079094,3046332.665076,-2641635.359211,3274391.984749
17,0.855679,1.257974,0.001380,0.005766,0.010281,3224298.601713,3046727.067580,3035535.079094,3046332.665076,-2232218.158725,3274391.984749
18,0.855765,1.183510,0.001862,0.007624,0.004561,2614636.912978,0.000000,3035535.079094,3046332.665076,3274242.657621,3274391.984749
19,0.855766,1.194201,0.000753,0.004808,0.008248,2745683.172683,3046725.215625,3035535.079094,3046332.665076,-926088.441394,3274391.984749
20,0.856491,1.227467,-0.002587,0.009318,0.008482,3291261.716036,0.000000,3035535.079094,3046332.665076,-1576108.645352,3274391.984749
21,0.857145,1.242008,0.000711,0.007704,0.003818,3011548.284281,0.000000,3035535.079094,3046332.665076,406685.495192,3274391.984749
22,0.857460,1.239117,-0.000944,0.011016,0.008493,3360000.633536,3046688.905962,3035535.079094,3046332.665076,-933297.141229,3274391.984749
23,0.857683,1.233382,-0.003346,0.003769,0.008557,3117583.985461,3046684.122620,3035535.079094,3046332.665076,-1132123.625729,3274391.984749
24,0.858654,1.250231,0.000069,0.005570,0.007720,3125304.397608,0.000000,3035535.079094,3046332.665076,901260.892398,3274391.984749
25,0.858691,1.203916,0.002369,0.008869,0.007968,2910455.871448,0.000000,3035535.079094,3046332.665076,198344.539334,3274391.984749
26,0.858733,1.247851,-0.004169,0.006346,0.008228,3324657.451747,3046661.627341,3035535.079094,3046332.665076,-598856.591315,3274391.984749
27,0.859067,1.284250,-0.001613,0.007092,0.003834,3312355.412724,0.000000,3035535.079094,3046332.665076,85597.548399,3274391.984749
28,0.859370,1.231303,-0.003374,0.004681,0.005914,3047404.455626,0.000000,3035535.079094,3046332.665076,581898.857308,3274391.984749
29,0.859403,1.235294,-0.001715,0.008586,0.007920,3243019.164836,3046647.280270,3035535.079094,3046332.665076,-168554.978090,3274391.984749
30,0.859792,1.235145,-0.002411,0.006901,0.008894,3229818.921119,0.000000,3035535.079094,3046332.665076,218117.245978,3274391.984749
31,0.860148,1.287825,0.001372,0.009764,0.011566,3571017.961054,3046631.315209,3035535.079094,3046332.665076,-1108923.744887,3274391.984749
32,0.860318,1.218835,0.002354,0.012570,0.010386,3242548.572843,3046627.666982,3035535.079094,3046332.665076,-1254078.650224,3274391.984749
33,0.860463,1.203022,0.003619,0.007145,0.009017,2802219.830558,3046624.559528,3035535.079094,3046332.665076,-1123798.904127,3274391.984749
34,0.861027,1.192188,-0.000916,0.008757,0.009953,3035906.524048,0.000000,3035535.079094,3046332.665076,213457.238423,3274391.984749
35,0.861772,1.243716,-0.001914,0.004731,0.005062,3025099.366070,3046596.504746,3035535.079094,3046332.665076,-802548.435464,3274391.984749
36,0.862342,1.228547,-0.002065,0.013881,0.009584,3478691.466199,3046584.299211,3035535.079094,3046332.665076,2271923.354469,3274391.984749
37,0.863275,1.217428,-0.000676,0.004727,0.004660,2788082.083853,3046564.320010,3035535.079094,3046332.665076,-666602.016635,3274391.984749
38,0.864145,1.241299,-0.000985,0.014656,0.007342,3460936.760500,3046545.665900,3035535.079094,3046332.665076,1129868.087057,3274391.984749
39,0.864517,1.232600,-0.000441,0.011726,0.008664,3318715.600822,0.000000,3035535.079094,3046332.665076,726156.685255,3274391.984749
40,0.864570,1.199058,-0.000097,0.012043,0.008162,3112926.448799,0.000000,3035535.079094,3046332.665076,-1383369.209907,3274391.984749
41,0.865472,1.209112,0.000409,0.008567,0.008759,3016002.850499,0.000000,3035535.079094,3046332.665076,1939504.024849,3274391.984749
42,0.865510,1.265842,-0.006699,0.003189,0.004697,3250196.482635,3046516.422744,3035535.079094,3046332.665076,-737926.738831,3274391.984749
43,0.866303,1.206690,-0.001628,0.004679,0.000249,2565611.309508,3046499.453418,3035535.079094,3046332.665076,-318246.076554,3274391.984749
44,0.867737,1.257319,0.000453,0.006717,0.009961,3246915.241352,3046468.736615,3035535.079094,3046332.665076,329191.530190,3274391.984749
45,0.867813,1.246226,0.003264,0.009796,0.008668,3161584.172594,3046467.104678,3035535.079094,3046332.665076,-517638.315242,3274391.984749
46,0.867844,1.201668,-0.000577,0.006769,0.006193,2823862.517052,0.000000,3035535.079094,3046332.665076,-253588.753193,3274391.984749
